tenure,city_tier,warehouse_to_home,hour_spend_on_app,number_of_device_registered,satisfaction_score,number_of_address,complain,order_amount_hike_from_last_year,coupon_used,order_count,day_since_last_order,cashback_amount,preferred_login_device,preferred_payment_mode,gender,prefered_order_cat,marital_status
12,1,14.5,3.0,3,4,2,0,15.0,1,2,5.0,150.0,0,1,1,2,1
5,3,25.0,2.5,4,2,5,1,12.0,0,1,2.0,120.5,1,2,0,1,2
20,1,8.0,4.0,5,5,3,0,18.0,3,5,1.0,200.0,2,0,1,0,1
1,2,30.0,1.5,2,1,1,1,11.0,0,1,10.0,100.0,1,4,0,3,0
8,1,12.0,3.0,3,3,4,0,14.0,2,4,3.0,160.0,0,3,1,2,1
15,3,18.0,3.5,4,4,6,0,16.0,1,3,4.0,175.5,1,5,0,4,1
3,2,9.0,2.0,2,2,2,1,13.0,0,1,7.0,110.0,0,6,1,5,2
25,1,6.0,4.5,5,5,8,0,22.0,5,10,0.5,250.0,2,0,1,2,1
6,3,22.0,2.5,3,3,3,0,12.5,1,2,6.0,130.0,1,1,0,1,0
2,2,28.0,1.0,2,1,1,1,10.5,0,1,15.0,90.0,0,2,1,3,2
10,1,15.0,3.0,4,4,5,0,15.5,2,3,4.5,165.0,2,3,0,0,1
4,3,35.0,2.0,3,2,4,1,11.5,0,1,3.0,115.0,1,4,1,1,2
30,1,5.0,5.0,6,5,10,0,25.0,10,15,1.0,300.0,0,5,0,2,1
18,2,11.0,3.5,4,4,6,0,17.0,3,6,2.0,190.0,1,0,1,4,0
7,3,20.0,2.5,3,3,3,0,13.0,1,2,8.0,140.0,2,6,0,5,2
9,1,13.0,3.0,3,4,4,0,14.5,2,3,5.0,155.0,0,1,1,2,1
22,2,7.0,4.0,5,5,7,0,19.0,4,8,1.5,220.0,1,3,0,0,1
1,3,40.0,1.0,1,1,1,1,10.0,0,1,20.0,80.0,2,2,1,3,0
14,1,16.0,3.2,4,4,5,0,16.5,2,4,3.5,170.0,0,4,0,1,1
11,2,10.0,3.0,3,3,3,0,15.0,1,2,6.0,145.0,1,5,1,2,2
